image_name,correct_lat,correct_lng,description,image_url
Công viên nước Đầm Sen,10.7672,106.6433,"Khu vui chơi giải trí dưới nước lớn nhất Thành phố Hồ Chí Minh, với nhiều trò chơi đa dạng, phù hợp với mọi lứa tuổi.",./images/miennam/Cong-vien-nuoc-Dam-Sen.jpg
Công viên Tao Đàn,10.7719,106.683,"Một trong những công viên lớn và lâu đời nhất Thành phố Hồ Chí Minh, với không gian xanh mát, nhiều cây cổ thụ và các công trình kiến trúc đẹp mắt.",./images/miennam/Cong-vien-Tao-Dan.jpg
Dinh Độc Lập,10.7731,106.693,"Di tích lịch sử quốc gia đặc biệt, nơi ghi dấu ấn lịch sử quan trọng của Việt Nam. Dinh có kiến trúc độc đáo, kết hợp giữa phong cách hiện đại và truyền thống",./images/miennam/Dinh-Doc-Lap.jpg
Dinh Gia Long,10.7709,106.692,"Một trong những công trình kiến trúc cổ kính nhất Thành phố Hồ Chí Minh, mang đậm dấu ấn kiến trúc Pháp. Dinh từng là nơi ở của vua Gia Long và hiện nay là Bảo tàng Thành phố Hồ Chí Minh.",./images/miennam/Dinh-Gia-Long.jpg
Hồ Bán Nguyệt,10.7303,106.7118,"Một hồ nước nhân tạo nằm trong khu đô thị Phú Mỹ Hưng, Quận 7. Hồ có hình dáng bán nguyệt độc đáo, là nơi thư giãn và ngắm cảnh yêu thích của người dân và du khách.",./images/miennam/Ho-Ban-Nguyet.jpg
Khu du lịch Suối Tiên,10.8658,106.8322,"Khu vui chơi giải trí lớn với nhiều trò chơi cảm giác mạnh, các công trình kiến trúc độc đáo và các show diễn nghệ thuật đặc sắc.",./images/miennam/khu-du-lich-Suoi-Tien.jpg
Rừng Sác Cần Giờ,10.45,106.9,"Khu dự trữ sinh quyển thế giới, với hệ sinh thái rừng ngập mặn đa dạng và phong phú. Đây là nơi lý tưởng để khám phá thiên nhiên và tìm hiểu về hệ sinh thái rừng ngập mặn.",./images/miennam/Rung-Sac-Can-Gio.jpg
Thảo Cầm Viên Sài Gòn,10.7937,106.7034,"Vườn thú lâu đời nhất Việt Nam, nơi nuôi dưỡng và bảo tồn nhiều loài động vật quý hiếm. Đây là điểm đến yêu thích của các gia đình và trẻ em.",./images/miennam/Thao-cam-vien.jpg
Tòa nhà Bitexco Financial Tower,10.771,106.7032,"Tòa nhà cao nhất Thành phố Hồ Chí Minh, với kiến trúc hiện đại và độc đáo. Từ đài quan sát trên đỉnh tòa nhà, du khách có thể ngắm nhìn toàn cảnh thành phố.",./images/miennam/Toa-nha-Bitexco.jpg
Chùa Huỳnh Đạo - An Giang.jpg,10.3758,105.1118,"Một ngôi chùa Phật giáo có kiến trúc độc đáo, kết hợp giữa phong cách Á Đông và phương Tây. Chùa nổi tiếng với những bức tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Huynh-Dao.jpg
Chùa Kim Tiên - An Giang.jpg,10.4283,105.1147,"Một ngôi chùa cổ kính nằm trên núi Sam, có lịch sử lâu đời và kiến trúc độc đáo. Chùa là nơi thờ tự và sinh hoạt tín ngưỡng của người dân địa phương.",./images/miennam/Chua-Kim-Tien.jpg
Chùa Koh Kas - An Giang.jpg,10.4137,105.1158,"Một ngôi chùa Khmer cổ kính, mang đậm dấu ấn văn hóa Khmer. Chùa có kiến trúc độc đáo với những mái vòm cong vút và những bức tượng Phật được chạm khắc tinh xảo.",./images/miennam/Chua-Koh-Kas.jpg
Chùa Lầu (Chùa Phước Lâm) - An Giang.jpg,10.3804,105.1122,"Một ngôi chùa độc đáo với kiến trúc nhiều tầng, được xây dựng trên một ngọn đồi cao. Chùa là nơi thờ tự và sinh hoạt tín ngưỡng của người dân địa phương.",./images/miennam/Chua-Lau-Chua-Phuoc-Lam.jpg
Chùa Long Sơn Núi Sam - An Giang.jpg,10.43,105.115,"Một ngôi chùa nằm trên núi Sam, có kiến trúc độc đáo và không gian thanh tịnh. Chùa là một điểm tham quan tâm linh nổi tiếng ở An Giang.",./images/miennam/Chua-Long-Son-Nui-Sam.jpg
Chùa Phước Thành - An Giang.jpg,10.3704,105.4293,"Một ngôi chùa cổ kính nằm ở trung tâm thành phố Long Xuyên, có kiến trúc độc đáo và lịch sử lâu đời. Chùa là nơi thờ tự và sinh hoạt tín ngưỡng của người dân địa phương.",./images/miennam/Chua-Phuoc-Thanh.jpg
Chùa Tây An - An Giang.jpg,10.43,105.115,"Một ngôi chùa cổ kính nằm trên núi Sam, có kiến trúc độc đáo và không gian thanh tịnh. Chùa là một điểm tham quan tâm linh nổi tiếng ở An Giang.",./images/miennam/Chua-Tay-An.jpg
Chùa Vạn Linh Núi Cấm - An Giang.jpg,10.5167,105.0,"Một ngôi chùa nằm trên núi Cấm, có kiến trúc độc đáo và không gian thanh tịnh. Chùa là một điểm tham quan tâm linh nổi tiếng ở An Giang.",./images/miennam/Chua-Van-Linh-Nui-Cam.jpg
Khu Du Lịch Đồi Tức Dụp - An Giang.jpg,10.4833,104.9833,"Một khu du lịch sinh thái nằm trên đồi Tức Dụp, có cảnh quan thiên nhiên tươi đẹp và không gian yên tĩnh. Đây là một điểm đến lý tưởng cho những ai muốn khám phá thiên nhiên và thư giãn.",./images/miennam/Khu-Du-Lich-Doi-Tuc-Dup.jpg
Thánh Đường Masjid Al – Ehsan.jpg,10.3742,105.1147,Một thánh đường Hồi giáo có kiến trúc độc đáo và lịch sử lâu đời. Đây là nơi thờ tự và sinh hoạt tín ngưỡng của cộng đồng người Chăm ở An Giang.,./images/miennam/Thanh-Duong-Masjid-Al-Ehsan.jpg
Cánh đồng muối - Bạc Liêu,9.2974,105.7259,"Những cánh đồng muối trắng tinh trải dài, tạo nên khung cảnh thanh bình và độc đáo. Đây là nơi người dân địa phương sản xuất muối theo phương pháp truyền thống, một nghề thủ công lâu đời của vùng đất này.",./images/miennam/Canh-dong-muoi.jpg
Chùa Giác Hoa - Bạc Liêu,9.2929,105.7183,"Một ngôi chùa cổ kính với kiến trúc độc đáo, kết hợp hài hòa giữa phong cách Khmer và Việt. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, trang nghiêm.",./images/miennam/Chua-Giac-Hoa.jpg
Chùa Hưng Thiện - Bạc Liêu,9.2778,105.7197,"Một ngôi chùa lớn với kiến trúc đồ sộ, nổi bật với những mái ngói cong vút và những cột trụ cao lớn. Bên trong chùa có nhiều tượng Phật lớn và các công trình kiến trúc đẹp mắt.",./images/miennam/Chua-Hung-Thien.jpg
Chùa Ông Quan Đế Miếu - Bạc Liêu,9.2892,105.7225,"Một ngôi miếu thờ Quan Công, vị tướng nổi tiếng thời Tam Quốc. Miếu có kiến trúc độc đáo với những mái ngói cong vút và tượng Quan Công uy nghiêm.",./images/miennam/Chua-Ong-Quan-De-Mieu.jpg
Chùa Xiêm Cán - Bạc Liêu,9.2687,105.7246,"Một ngôi chùa Khmer cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Khmer. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Xiem-Can.jpg
Nhà công tử - Bạc Liêu,9.2896,105.7225,"Một ngôi nhà cổ nổi tiếng, gắn liền với giai thoại về công tử Bạc Liêu. Ngôi nhà có kiến trúc Pháp cổ điển với nhiều chi tiết trang trí tinh xảo.",./images/miennam/Nha-cong-tu.jpg
Nhà thờ Tắc Sậy - Bạc Liêu,9.2778,105.7197,"Một nhà thờ Công giáo với kiến trúc độc đáo, kết hợp giữa phong cách Gothic và Á Đông. Nhà thờ có nhiều tháp chuông cao vút và những ô cửa sổ kính màu đẹp mắt.",./images/miennam/Nha-tho-Tac-Say.jpg
Phước Đức cổ miếu - Bạc Liêu,9.2902,105.7228,"Một ngôi miếu cổ kính với kiến trúc độc đáo, nơi thờ tự các vị thần linh được người dân địa phương tôn kính. Miếu có nhiều tượng thần được chạm khắc tinh xảo và không gian trang nghiêm.",./images/miennam/Phuoc-Duc-co-mieu.jpg
Tháp cổ Vĩnh Hưng - Bạc Liêu,9.2558,105.7336,"Một ngọn tháp cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Khmer. Tháp có nhiều tầng và được trang trí bằng những hoa văn tinh xảo. Đây là một di tích lịch sử và văn hóa quan trọng của Bạc Liêu.",./images/miennam/Thap-co-Vinh-Hung.jpg
Thiền viện Trúc Lâm - Bạc Liêu,9.2878,105.7214,"Một thiền viện lớn với không gian thanh tịnh, nơi tu tập và sinh hoạt của các tăng ni, phật tử. Thiền viện có nhiều công trình kiến trúc đẹp mắt và khuôn viên rộng rãi, thoáng mát.",./images/miennam/Thien-vien-Truc-Lam.jpg
Chùa Bạch Vân – Bến Tre,10.2359,106.3571,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Bach-Van.jpg
Chùa Tuyên Lĩnh – Bến Tre,10.2312,106.3518,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Tuyen-Linh.jpg
Chùa Vạn Phước – Bến Tre,10.2309,106.3514,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Van-Phuoc.jpg
Đền Đức Mẹ La Mã – Bến Tre,10.2323,106.3524,"Một ngôi đền Công giáo với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Công giáo. Đền là nơi hành hương của nhiều người Công giáo.",./images/miennam/Den-Duc-Me-La-Ma.jpg
Đền thờ và mộ Nguyễn Đình Chiểu – Bến Tre,10.2314,106.3522,"Một khu di tích lịch sử văn hóa, nơi thờ tự và an táng nhà thơ yêu nước Nguyễn Đình Chiểu. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Den-tho-va-mo-Nguyen-Dinh-Chieu.jpg
Khu di tích lịch sử Sài Gòn - Gia Định – Bến Tre,10.2312,106.3517,"Một khu di tích lịch sử quốc gia, nơi ghi dấu ấn lịch sử quan trọng của Sài Gòn - Gia Định. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Khu-di-tich-lich-su-Sai-Gon---Gia-Dinh.jpg
Khu du lịch Cồn Phụng – Bến Tre,10.2307,106.3511,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-Con-Phung.jpg
Khu du lịch sinh thái Cồn Quy – Bến Tre,10.2305,106.3509,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-sinh-thai-Con-Quy.jpg
Làng hoa giấy – Bến Tre,10.231,106.3515,"Một làng nghề truyền thống nổi tiếng, nơi sản xuất các sản phẩm hoa giấy đẹp mắt và độc đáo.",./images/miennam/Lang-hoa-giay.jpg
Làng Xanh – Bến Tre,10.2311,106.3516,"Một làng du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Làng có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Lang-Xanh.jpg
Nhà truyền thống Đồng Khởi – Bến Tre,10.2313,106.3519,"Một nhà bảo tàng lịch sử, nơi trưng bày các hiện vật và hình ảnh về phong trào Đồng Khởi.",./images/miennam/Nha-truyen-thong-Dong-Khoi.jpg
Nông trại du lịch sân chìm Vàm Hồ – Bến Tre,10.2315,106.3521,"Một nông trại du lịch sinh thái nổi tiếng, với nhiều hoạt động trải nghiệm hấp dẫn. Nông trại có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Nong-trai-du-lich-san-chim-Vam-Ho.jpg
Căn cứ Tà Thiết – Bình Phước,11.8315,106.6341,"Một di tích lịch sử quốc gia đặc biệt, nơi đặt căn cứ của Bộ chỉ huy Miền trong thời kỳ kháng chiến chống Mỹ. Căn cứ có nhiều công trình kiến trúc độc đáo và không gian trang nghiêm.",./images/miennam/Can-cu-Ta-Thiet.jpg
Chùa Phát Quốc Vạn Thành – Bình Phước,11.6669,106.9208,"Một ngôi chùa lớn với kiến trúc đồ sộ, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Phat-Quoc-Van-Thanh.jpg
Chùa Sóc Lớn – Bình Phước,11.5976,106.8778,"Một ngôi chùa Khmer cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Khmer. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Soc-Lon.jpg
Di tích địa điểm chốt chặn Tàu Ô – Bình Phước,11.6667,106.9167,"Một di tích lịch sử, nơi diễn ra trận đánh Tàu Ô nổi tiếng trong thời kỳ kháng chiến chống Mỹ. Di tích có nhiều công trình kiến trúc độc đáo và không gian trang nghiêm.",./images/miennam/Di-tich-dia-diem-chot-chan-Tau-O.jpg
Đồi chè ở Lâm Viên Mỹ Lệ – Bình Phước,11.6667,106.9167,"Một đồi chè xanh mướt, nơi bạn có thể ngắm nhìn cảnh quan thiên nhiên tươi đẹp và thưởng thức trà xanh thơm ngon.",./images/miennam/Doi-che-o-Lam-Vien-My-Le.jpg
Hồ Suối Giai – Bình Phước,11.4167,107.0333,"Một hồ nước lớn với cảnh quan thiên nhiên tươi đẹp, là nơi lý tưởng để thư giãn và ngắm cảnh.",./images/miennam/Ho-Suoi-Giai.jpg
Hồ thủy điện Thác Mơ – Bình Phước,11.4167,107.0333,Một hồ nước lớn được hình thành từ việc xây dựng nhà máy thủy điện Thác Mơ. Hồ có cảnh quan thiên nhiên tươi đẹp và là nơi cung cấp nước cho sinh hoạt và sản xuất.,./images/miennam/Ho-thuy-dien-Thac-Mo.jpg
Núi Bà Rá – Bình Phước,11.4167,107.0333,"Một ngọn núi cao với cảnh quan thiên nhiên hùng vĩ, là nơi lý tưởng để leo núi và ngắm cảnh.",./images/miennam/Nui-Ba-Ra.jpg
Rừng cao su Bù Đăng – Bình Phước,11.4167,107.0333,"Một khu rừng cao su rộng lớn, nơi bạn có thể tìm hiểu về quy trình trồng và khai thác cao su.",./images/miennam/Rung-cao-su-Bu-Dang.jpg
Sóc Bom Bo – Bình Phước,11.4167,107.0333,"Một sóc người S'tiêng, nơi bạn có thể tìm hiểu về văn hóa và phong tục tập quán của người dân tộc S'tiêng.",./images/miennam/Soc-Bom-Bo.jpg
Thác Đắk Mai – Bình Phước,11.4167,107.0333,"Một thác nước đẹp với dòng nước chảy xiết, là nơi lý tưởng để ngắm cảnh và chụp ảnh.",./images/miennam/Thac-Dak-Mai.jpg
Thác Đứng Bình Phước – Bình Phước,11.4167,107.0333,"Một thác nước đẹp với dòng nước chảy xiết, là nơi lý tưởng để ngắm cảnh và chụp ảnh.",./images/miennam/Thac-Dung.jpg
Vườn quốc gia Bù Gia Mập – Bình Phước,11.4167,107.0333,Một vườn quốc gia rộng lớn với hệ sinh thái đa dạng và phong phú. Vườn quốc gia là nơi bảo tồn nhiều loài động vật và thực vật quý hiếm.,./images/miennam/Vuon-quoc-gia-Bu-Gia-Map.jpg
Chùa Bạch Vân – Bình Dương,10.2359,106.3571,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Bach-Van.jpg
Chùa Tuyên Lĩnh – Bình Dương,10.2312,106.3518,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Tuyen-Linh.jpg
Chùa Vạn Phước – Bình Dương,10.2309,106.3514,"Một ngôi chùa cổ kính với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Phật giáo. Chùa có nhiều tượng Phật được chạm khắc tinh xảo và không gian yên tĩnh, thanh tịnh.",./images/miennam/Chua-Van-Phuoc.jpg
Đền Đức Mẹ La Mã – Bình Dương,10.2323,106.3524,"Một ngôi đền Công giáo với kiến trúc độc đáo, mang đậm dấu ấn văn hóa Công giáo. Đền là nơi hành hương của nhiều người Công giáo.",./images/miennam/Den-Duc-Me-La-Ma.jpg
Đền thờ và mộ Nguyễn Đình Chiểu – Bình Dương,10.2314,106.3522,"Một khu di tích lịch sử văn hóa, nơi thờ tự và an táng nhà thơ yêu nước Nguyễn Đình Chiểu. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Den-tho-va-mo-Nguyen-Dinh-Chieu.jpg
Khu di tích lịch sử Sài Gòn - Gia Định – Bình Dương,10.2312,106.3517,"Một khu di tích lịch sử quốc gia, nơi ghi dấu ấn lịch sử quan trọng của Sài Gòn - Gia Định. Khu di tích có nhiều công trình kiến trúc đẹp mắt và không gian trang nghiêm.",./images/miennam/Khu-di-tich-lich-su-Sai-Gon---Gia-Dinh.jpg
Khu du lịch Cồn Phụng – Bình Dương,10.2307,106.3511,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-Con-Phung.jpg
Khu du lịch sinh thái Cồn Quy – Bình Dương,10.2305,106.3509,"Một khu du lịch sinh thái nổi tiếng, với nhiều hoạt động vui chơi giải trí hấp dẫn. Khu du lịch có nhiều vườn cây ăn trái, nhà hàng, khách sạn và các điểm tham quan khác.",./images/miennam/Khu-du-lich-sinh-thai-Con-Quy.jpg
